publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
Politique étrangère	0032-342X	1958-8992	2005		1				https://www.cairn.info/revue-politique-etrangere.htm		revue-politique-etrangere		fulltext		Institut français des relations internationales	serial								P	119404516
Politique européenne	1623-6297	2105-2875	2000	1	1				https://www.cairn.info/revue-politique-europeenne.htm		revue-politique-europeenne		fulltext		L'Harmattan	serial								P	130431575
Politix	0295-2319	1953-8286	1988	1	1				https://www.cairn.info/revue-politix.htm		revue-politix		fulltext		De Boeck Supérieur	serial								P	116345217
Pouvoirs	0152-0768	2101-0390	2001	96	1				https://www.cairn.info/revue-pouvoirs.htm		revue-pouvoirs		fulltext		Le Seuil	serial								P	130436275
Présence Africaine	0032-7638	2271-197X	1947	1	1				https://www.cairn.info/revue-presence-africaine.htm		revue-presence-africaine		fulltext		Éditions Présence Africaine	serial								P	174868448
Problèmes d'Amérique latine	0765-1333	1968-3898	2008	70	4				https://www.cairn.info/revue-problemes-d-amerique-latine.htm		revue-problemes-d-amerique-latine		fulltext		ESKA	serial								P	157500527
Proche-Orient Chrétien	0032-9622		2019	69	3				https://www.cairn.info/revue-proche-orient-chretien.htm		revue-proche-orient-chretien		fulltext		Université Saint-Joseph de Beyrouth	serial								P	
Quaderni	0987-1381	2105-2956	2021	103	2				https://www.cairn.info/revue-quaderni.htm		revue-quaderni		fulltext		Éditions de la Maison des sciences de l'homme	serial								P	137456891
Question(s) de management	2262-7030	2271-2127	2012	0	1				https://www.cairn.info/revue-questions-de-management.htm		revue-questions-de-management		fulltext		EMS Editions	serial								P	176699872
Raison présente	0033-9075	2649-7999	2014	189	1				https://www.cairn.info/revue-raison-presente.htm		revue-raison-presente		fulltext		Union rationaliste	serial								P	233193316
Raison publique	1767-0543	2268-5944	2012	17	2	2016		1	https://www.cairn.info/revue-raison-publique1.htm		revue-raison-publique1		fulltext		Presses universitaires de Rennes	serial								P	172121825
Raisons politiques	1291-1941	1950-6708	2004	14	2				https://www.cairn.info/revue-raisons-politiques.htm		revue-raisons-politiques		fulltext		Presses de Sciences Po	serial								P	110954742
Recherches de Science Religieuse	0034-1258	2104-3884	2001	89	1				https://www.cairn.info/revue-recherches-de-science-religieuse.htm		revue-recherches-de-science-religieuse		fulltext		Facultés Loyola Paris	serial								P	125317549
Recherches en Sciences de Gestion	2259-6372	2271-2836	2011	85	4				https://www.cairn.info/revue-recherches-en-sciences-de-gestion.htm		revue-recherches-en-sciences-de-gestion		fulltext		ISEOR	serial								P	174932952
Recherches sur Diderot et sur l’Encyclopédie	0769-0886	1955-2416	2021	56	1				https://www.cairn.info/revue-recherches-sur-diderot-et-sur-l-encyclopedie.htm		revue-recherches-sur-diderot-et-sur-l-encyclopedie		fulltext		Société Diderot	serial								P	116547065
Reflets et perspectives de la vie économique	0034-2971	1782-1509	2004		3				https://www.cairn.info/revue-reflets-et-perspectives-de-la-vie-economique.htm		revue-reflets-et-perspectives-de-la-vie-economique		fulltext		De Boeck Supérieur	serial								P	097590193
Réforme, Humanisme, Renaissance	1771-1347	1969-654X	2015	80	1				https://www.cairn.info/revue-reforme-humanisme-renaissance.htm		revue-reforme-humanisme-renaissance		fulltext		Association d’études sur la Renaissance, l’Humanisme et la Réforme	serial								P	133150208
Regards croisés sur l'économie	1956-7413	2119-3975	2007	1	1				https://www.cairn.info/revue-regards-croises-sur-l-economie.htm		revue-regards-croises-sur-l-economie		fulltext		La Découverte	serial								P	157752917
Relations internationales	0335-2013	2105-2654	2000	104	4				https://www.cairn.info/revue-relations-internationales.htm		revue-relations-internationales		fulltext		Presses Universitaires de France	serial								P	13045656X
Repères, cahier de danse	2112-5147	2271-7811	2006	17	1	2021		2	https://www.cairn.info/revue-reperes-cahier-de-danse.htm		revue-reperes-cahier-de-danse		fulltext		La Briqueterie / CDCN du Val-de-Marne	serial								P	17486874X
Réseaux	0751-7971	1777-5809	1983	1	1				https://www.cairn.info/revue-reseaux.htm		revue-reseaux		fulltext		La Découverte	serial								P	112131433
Retraite et société	1167-4687	1961-8719	2001	34	3	2015		3	https://www.cairn.info/revue-retraite-et-societe1.htm		revue-retraite-et-societe1		fulltext		La Documentation française	serial								P	112133738
Revue archéologique	0035-0737	2104-3868	2001	31	1				https://www.cairn.info/revue-archeologique.htm		revue-archeologique		fulltext		Presses Universitaires de France	serial								P	12217612X
Revue CONFLUENCE : Sciences et Humanités	2826-4029		2022	1	1				https://www.cairn.info/revue-confluence.htm		revue-confluence		fulltext		Unité de Recherche CONFLUENCE : Sciences et Humanités [EA 1598] - UCLy	serial								P	
Revue d'archéologie contemporaine		2826-3049	2021	1	1				https://www.cairn.info/revue-revue-d-archeologie-contemporaine.htm		revue-revue-d-archeologie-contemporaine		fulltext		Association Française de Recherche en Archéologie Contemporaine	serial								P	263181383
Revue d'assyriologie et d'archéologie orientale	0373-6032	2104-3817	2001	93	1				https://www.cairn.info/revue-d-assyriologie.htm		revue-d-assyriologie		fulltext		Presses Universitaires de France	serial								P	12217822X
Revue d'économie du développement	1245-4060	1782-1517	2002	10	1				https://www.cairn.info/revue-d-economie-du-developpement.htm		revue-d-economie-du-developpement		fulltext		De Boeck Supérieur	serial								P	098324187
Revue d'économie financière	0987-3368	1777-5744	2011	101	1				https://www.cairn.info/revue-d-economie-financiere.htm		revue-d-economie-financiere		fulltext		Association Europe Finances Régulations	serial								P	116261242
Revue d'économie industrielle	0154-3229	1773-0198	2021	175	3				https://www.cairn.info/revue-d-economie-industrielle.htm		revue-d-economie-industrielle		fulltext		De Boeck Supérieur	serial								P	09512828X
Revue d'économie politique	0373-2630	2105-2883	2001	111	1				https://www.cairn.info/revue-d-economie-politique.htm		revue-d-economie-politique		fulltext		Dalloz	serial								P	130458740
Revue d'éthique et de théologie morale	1266-0078	2118-4518	2004	229	2				https://www.cairn.info/revue-d-ethique-et-de-theologie-morale.htm		revue-d-ethique-et-de-theologie-morale		fulltext		Éditions du Cerf	serial								P	149996446
Revue d'histoire de la protection sociale	1969-9123	2491-3049	2008	1	1				https://www.cairn.info/revue-d-histoire-de-la-protection-sociale.htm		revue-d-histoire-de-la-protection-sociale		fulltext		Comité d'histoire de la sécurité sociale	serial								P	190577126
Revue d'Histoire des Sciences Humaines	1622-468X	1963-1022	2002	6	1				https://www.cairn.info/revue-histoire-des-sciences-humaines.htm		revue-histoire-des-sciences-humaines		fulltext		Éditions Sciences Humaines	serial								P	112157750
Revue d'histoire littéraire de la France	0035-2411	2105-2689	2001	101	1	2016		4	https://www.cairn.info/revue-d-histoire-litteraire-de-la-france.htm		revue-d-histoire-litteraire-de-la-france		fulltext		Presses Universitaires de France	serial								P	118822527
Revue de l'art	0035-1326		1968	1	1				https://www.cairn.info/revue-de-l-art.htm		revue-de-l-art		fulltext		Éditions Ophrys	serial								P	
Revue de l'histoire des religions	0035-1423	2105-2573	2021	238	4				https://www.cairn.info/revue-de-l-histoire-des-religions.htm		revue-de-l-histoire-des-religions		fulltext		Armand Colin	serial								P	116551526
Revue de la BNF	1254-7700	2118-3376	2009	31	1	2020		2	https://www.cairn.info/revue-de-la-bibliotheque-nationale-de-france.htm		revue-de-la-bibliotheque-nationale-de-france		fulltext		Bibliothèque nationale de France	serial								P	139713913
Revue de littérature comparée	0035-1466	1965-0264	2004	312	4				https://www.cairn.info/revue-de-litterature-comparee.htm		revue-de-litterature-comparee		fulltext		Klincksieck	serial								P	112172156
Revue de l’Entrepreneuriat / Review of Entrepreneurship	1766-2524	1630-7542	2001	1	1				https://www.cairn.info/revue-de-l-entrepreneuriat.htm		revue-de-l-entrepreneuriat		fulltext		Académie de l’Entrepreneuriat et de l’Innovation	serial								P	060695560
Revue de l’organisation responsable	1951-0187	2105-3022	2006	1	1				https://www.cairn.info/revue-de-l-organisation-responsable.htm		revue-de-l-organisation-responsable		fulltext		ESKA	serial								P	131198181
Revue de métaphysique et de morale	0035-1571	2102-5177	2001	29	1				https://www.cairn.info/revue-de-metaphysique-et-de-morale.htm		revue-de-metaphysique-et-de-morale		fulltext		Presses Universitaires de France	serial								P	134327918
Revue de philologie, de littérature et d'histoire anciennes	0035-1652	1760-8430	2005		2				https://www.cairn.info/revue-de-philologie-litterature-et-histoire-anciennes.htm		revue-de-philologie-litterature-et-histoire-anciennes		fulltext		Klincksieck	serial								P	112186726
Revue de philosophie ancienne	0771-5420		2014		1				https://www.cairn.info/revue-de-philosophie-ancienne.htm		revue-de-philosophie-ancienne		fulltext		Éditions Ousia	serial								P	
Revue de philosophie économique	1376-0971	2118-4852	2009	10	1				https://www.cairn.info/revue-de-philosophie-economique.htm		revue-de-philosophie-economique		fulltext		Vrin	serial								P	156812371
Revue de science criminelle et de droit pénal comparé	0035-1733	1760-7620	2010	1	1				https://www.cairn.info/revue-de-science-criminelle-et-de-droit-penal-compare.htm		revue-de-science-criminelle-et-de-droit-penal-compare		fulltext		Dalloz	serial								P	118124331
Revue Défense Nationale	2105-7508	2117-5969	2015	776	1				https://www.cairn.info/revue-defense-nationale.htm		revue-defense-nationale		fulltext		Comité d’études de Défense Nationale	serial								P	156450372
Revue des sciences philosophiques et théologiques	0035-2209	2118-4445	2001	85	1				https://www.cairn.info/revue-des-sciences-philosophiques-et-theologiques.htm		revue-des-sciences-philosophiques-et-theologiques		fulltext		Vrin	serial								P	146485815
Revue Droit et Littérature	2552-8831	2728-7599	2017	1	1				https://www.cairn.info/revue-droit-et-litterature.htm		revue-droit-et-litterature		fulltext		Lextenso	serial								P	240253426
Revue du MAUSS	1247-4819	1776-3053	2001	17	1				https://www.cairn.info/revue-du-mauss1.htm		revue-du-mauss1		fulltext		Éditions Le Bord de l’eau	serial								P	098846612
Revue du Nord	0035-2624	2271-7005	2001	339	1				https://www.cairn.info/revue-du-nord.htm		revue-du-nord		fulltext		Association Revue du Nord	serial								P	168191598
Revue d’études comparatives Est-Ouest	0338-0599	2259-6100	2009	40	1	2017		3-4	https://www.cairn.info/revue-d-etudes-comparatives-est-ouest1.htm		revue-d-etudes-comparatives-est-ouest1		fulltext		NecPlus	serial								P	136828140
Revue d’Histoire de la Shoah	2111-885X	2553-6141	2005		1				https://www.cairn.info/revue-d-histoire-de-la-shoah.htm		revue-d-histoire-de-la-shoah		fulltext		Mémorial de la Shoah	serial								P	199543909
Revue d’Histoire de la Shoah	1281-1505		1997		1	2004		2	https://www.cairn.info/revue-revue-d-histoire-de-la-shoah1.htm		revue-revue-d-histoire-de-la-shoah1		fulltext		Centre de Documentation Juive Contemporaine	serial								P	
Revue d’histoire du XIXe siècle	1265-1354	1777-5329	2020	61	2				https://www.cairn.info/revue-d-histoire-du-dix-neuvieme-siecle.htm		revue-d-histoire-du-dix-neuvieme-siecle		fulltext		Société de 1848	serial								P	10488407X
Revue d’histoire moderne et contemporaine	0048-8003	1776-3045	2000	47	3				https://www.cairn.info/revue-d-histoire-moderne-et-contemporaine.htm		revue-d-histoire-moderne-et-contemporaine		fulltext		Belin	serial								P	098325183
Revue européenne des migrations internationales	0765-0752	1777-5418	2002	18	1				https://www.cairn.info/revue-europeenne-des-migrations-internationales.htm		revue-europeenne-des-migrations-internationales		fulltext		Université de Poitiers	serial								P	114300224
Revue française d'administration publique	0152-7401	1965-0620	2003	105	1				https://www.cairn.info/revue-francaise-d-administration-publique.htm		revue-francaise-d-administration-publique		fulltext		Institut national du service public	serial								P	112188494
Revue française d'économie	0769-0479	1760-7388	2009		3				https://www.cairn.info/revue-francaise-d-economie.htm		revue-francaise-d-economie		fulltext		Revue française d’économie	serial								P	124048692
Revue française d'éthique appliquée	2494-5757	2427-0687	2016	1	1				https://www.cairn.info/revue-francaise-d-ethique-appliquee.htm		revue-francaise-d-ethique-appliquee		fulltext		Érès	serial								P	18716858X
Revue Française d'Histoire des Idées Politiques	1266-7862	2119-3851	2001	13	1	2014		2	https://www.cairn.info/revue-francaise-d-histoire-des-idees-politiques1.htm		revue-francaise-d-histoire-des-idees-politiques1		fulltext		Picard	serial								P	154926108
Revue française d'histoire économique	2427-4062	2608-0753	2014	1	1				https://www.cairn.info/revue-francaise-d-histoire-economique.htm		revue-francaise-d-histoire-economique		fulltext		L'Harmattan	serial								P	224379542
Revue française de droit constitutionnel	1151-2385	2105-2867	2001	45	1				https://www.cairn.info/revue-francaise-de-droit-constitutionnel.htm		revue-francaise-de-droit-constitutionnel		fulltext		Presses Universitaires de France	serial								P	130467928
Revue française de science politique	0035-2950	1950-6686	2003	53	6				https://www.cairn.info/revue-francaise-de-science-politique.htm		revue-francaise-de-science-politique		fulltext		Presses de Sciences Po	serial								P	098978713
Revue Française de Socio-Économie	1966-6608	2104-3833	2008	1	1				https://www.cairn.info/revue-francaise-de-socio-economie.htm		revue-francaise-de-socio-economie		fulltext		La Découverte	serial								P	123313422
Revue française d’études américaines	0397-7870	1776-3061	2001		5				https://www.cairn.info/revue-francaise-d-etudes-americaines.htm		revue-francaise-d-etudes-americaines		fulltext		Belin	serial								P	098932713
Revue historique	0035-3264	2104-3825	2001	617	1				https://www.cairn.info/revue-historique.htm		revue-historique		fulltext		Presses Universitaires de France	serial								P	122235746
Revue Historique des Armées	0035-3299	1965-0779	2006	242	1				https://www.cairn.info/revue-historique-des-armees.htm		revue-historique-des-armees		fulltext		Service Historique de la Défense	serial								P	127693246
Revue interdisciplinaire d'études juridiques	0770-2310	2406-4742	1978	1	1				https://www.cairn.info/revue-interdisciplinaire-d-etudes-juridiques.htm		revue-interdisciplinaire-d-etudes-juridiques		fulltext		Presses de l'Université Saint-Louis	serial								P	185312543
Revue internationale d'intelligence économique	2101-647X	2102-6408	2009	1	1	2015		1	https://www.cairn.info/revue-internationale-d-intelligence-economique-1.htm		revue-internationale-d-intelligence-economique-1		fulltext		JLE Editions	serial								P	137244134
Revue internationale de droit économique	1010-8831	1782-1525	2003	2	2				https://www.cairn.info/revue-internationale-de-droit-economique.htm		revue-internationale-de-droit-economique		fulltext		Association internationale de droit économique	serial								P	098998161
Revue internationale de philosophie	0048-8143	2033-0138	2001	216	2				https://www.cairn.info/revue-internationale-de-philosophie.htm		revue-internationale-de-philosophie		fulltext		De Boeck Supérieur	serial								P	130468894
Revue internationale des études du développement	2554-3415	2554-3555	2017		1				https://www.cairn.info/revue-internationale-des-etudes-du-developpement.htm		revue-internationale-des-etudes-du-developpement		fulltext		Éditions de la Sorbonne	serial								P	201460653
Revue Internationale des Sciences Administratives	0303-965X	2411-2909	2005	71	1				https://www.cairn.info/revue-internationale-des-sciences-administratives.htm		revue-internationale-des-sciences-administratives		fulltext		I.I.S.A.	serial								P	185380859
Revue internationale des sciences de l'organisation		2551-3583	2016	1	1				https://www.cairn.info/revue-internationale-des-sciences-de-l-organisation.htm		revue-internationale-des-sciences-de-l-organisation		fulltext		Management Prospective Editions	serial								P	194456153
Revue internationale et stratégique	1287-1672	2104-3876	2001	41	1				https://www.cairn.info/revue-internationale-et-strategique.htm		revue-internationale-et-strategique		fulltext		IRIS éditions	serial								P	122238702
Revue juridique de l’environnement	0397-0299	2430-2848	2010	35	1				https://www.cairn.info/revue-juridique-de-l-environnement.htm		revue-juridique-de-l-environnement		fulltext		JLE Editions	serial								P	189341297
Revue Lumen Vitae	0024-7324	2953-1438	2004	59	1				https://www.cairn.info/revue-lumen-vitae.htm		revue-lumen-vitae		fulltext		Université catholique de Louvain	serial								P	241646189
Revue philosophique de la France et de l'étranger	0035-3833	2104-385X	2001	126	1				https://www.cairn.info/revue-philosophique.htm		revue-philosophique		fulltext		Presses Universitaires de France	serial								P	122244095
Revue Tiers Monde	1293-8882	1963-1359	2003	173	1	2016		4	https://www.cairn.info/revue-tiers-monde.htm		revue-tiers-monde		fulltext		Armand Colin	serial								P	124308333
RIMHE : Revue Interdisciplinaire Management, Homme et Entreprise	2259-2490	2260-5584	2012		1				https://www.cairn.info/revue-rimhe.htm		revue-rimhe		fulltext		ARIMHE	serial								P	166197149
Roman 20-50	0295-5024	2492-0614	2005	39	1				https://www.cairn.info/revue-roman2050.htm		revue-roman2050		fulltext		Société Roman 20-50	serial								P	190563117
Romantisme	0048-8593	1957-7958	2004	123	1				https://www.cairn.info/revue-romantisme.htm		revue-romantisme		fulltext		Armand Colin	serial								P	117537411
Salariat			2022	1	1				https://www.cairn.info/revue-salariat.htm		revue-salariat		fulltext		Éditions du Croquant	serial								P	
Savoir/Agir	1958-7856	1958-5535	2007	1	1				https://www.cairn.info/revue-savoir-agir.htm		revue-savoir-agir		fulltext		Éditions du Croquant	serial								P	121373118
SAY	2743-3145	2822-8693	2020	1	1	2021		3	https://www.cairn.info/revue-say.htm		revue-say		fulltext		Hermann	serial								P	260892459
Sciences sociales et sport	1967-7359	2264-5748	2008	1	1				https://www.cairn.info/revue-sciences-sociales-et-sport.htm		revue-sciences-sociales-et-sport		fulltext		L'Harmattan	serial								P	167238345
Sécurité globale	1959-6782	2271-2194	2008	3	1				https://www.cairn.info/revue-securite-globale.htm		revue-securite-globale		fulltext		ESKA	serial								P	175967121
Sens-Dessous	1951-0519	2430-2880	2006	0	1				https://www.cairn.info/revue-sens-dessous.htm		revue-sens-dessous		fulltext		Éditions de l'Association Paroles	serial								P	187453705
Sensibilités	2496-9087	2779-1920	2016	1	1				https://www.cairn.info/revue-sensibilites.htm		revue-sensibilites		fulltext		Anamosa	serial								P	252523393
Sigila	1286-1715	2649-8529	2010	25	1				https://www.cairn.info/revue-sigila.htm		revue-sigila		fulltext		Gris-France	serial								P	233196595
Société, droit et religion	2110-6657	2272-9054	2011	1	1				https://www.cairn.info/revue-societe-droit-et-religion.htm		revue-societe-droit-et-religion		fulltext		CNRS Éditions	serial								P	178582174
Sociographe	1297-6628		2000	1	1				https://www.cairn.info/revue-socio-graphe.htm		revue-socio-graphe		fulltext		Association Sociographe	serial								P	
Sociologie de l'Art	0779-1674	2264-5209	2003		1				https://www.cairn.info/revue-sociologie-de-l-art.htm		revue-sociologie-de-l-art		fulltext		L'Harmattan	serial								P	167239430
Stratégique	0224-0424	2430-2961	2005	85	1				https://www.cairn.info/revue-strategique.htm		revue-strategique		fulltext		Institut de Stratégie Comparée	serial								P	189341319
Syntaxe et Sémantique	1623-6742	2271-2852	2000	1	1				https://www.cairn.info/revue-syntaxe-et-semantique.htm		revue-syntaxe-et-semantique		fulltext		Presses universitaires de Caen	serial								P	168195623
Systèmes d'information et management	1260-4984	2271-7188	2008	13	1				https://www.cairn.info/revue-systemes-d-information-et-management.htm		revue-systemes-d-information-et-management		fulltext		ESKA	serial								P	176700056
Techniques et Culture	0248-6016	1952-420X	2021		2				https://www.cairn.info/revue-techniques-et-culture.htm		revue-techniques-et-culture		fulltext		Éditions de l'EHESS	serial								P	109425014
Télévision	2108-8926	2426-6264	2010	1	1				https://www.cairn.info/revue-television.htm		revue-television		fulltext		CNRS Éditions	serial								P	182658228
The Irenaut			2023		1				https://www.cairn.info/revue-the-irenaut.htm		revue-the-irenaut		fulltext		The Irenaut	serial								P	
Tous urbains	2265-9811	2496-431X	2013	1	1				https://www.cairn.info/revue-tous-urbains.htm		revue-tous-urbains		fulltext		Presses Universitaires de France	serial								P	241904285
Transports urbains	0397-6521	2678-6176	2003	105	2				https://www.cairn.info/revue-transports-urbains.htm		revue-transports-urbains		fulltext		Groupement pour l'Étude des Transports Urbains Modernes	serial								P	237085569
Transversalités	1286-9449	2259-3799	2008	105	1				https://www.cairn.info/revue-transversalites.htm		revue-transversalites		fulltext		Institut Catholique de Paris	serial								P	174290845
Travaux de linguistique	0082-6049	1782-1576	2001	42	1				https://www.cairn.info/revue-travaux-de-linguistique.htm		revue-travaux-de-linguistique		fulltext		De Boeck Supérieur	serial								P	099223198
Tribonien	2609-5653	2967-0721	2018	1	1				https://www.cairn.info/revue-tribonien.htm		revue-tribonien		fulltext		Société de législation comparée	serial								P	260151319
Tumultes	1243-549X	2118-2892	2001	16	1				https://www.cairn.info/revue-tumultes.htm		revue-tumultes		fulltext		Éditions Kimé	serial								P	148824919
Vertigo	0985-1402	2428-3568	2002	23	1	2015		1	https://www.cairn.info/revue-vertigo.htm		revue-vertigo		fulltext		Éditions Lignes	serial								P	18513792X
Vie et sciences de l'entreprise	2262-5321	2262-5372	2005		3				https://www.cairn.info/revue-vie-et-sciences-de-l-entreprise.htm		revue-vie-et-sciences-de-l-entreprise		fulltext		ANDESE	serial								P	166198048
Vingtième Siècle. Revue d'histoire	0294-1759	1950-6678	2001	69	1	2018		4	https://www.cairn.info/revue-vingtieme-siecle-revue-d-histoire.htm		revue-vingtieme-siecle-revue-d-histoire		fulltext		Presses de Sciences Po	serial								P	099236346
Volume !	2117-4148	1950-568X	2022		1				https://www.cairn.info/revue-volume.htm		revue-volume		fulltext		Éditions Mélanie Seteun	serial								P	157108643
Zilsel	2551-8313	2553-6133	2017	1	1				https://www.cairn.info/revue-zilsel.htm		revue-zilsel		fulltext		Éditions du Croquant	serial								P	198359934
1895	0769-0959	1960-6176	2020	91	2				https://www.cairn.info/revue-1895.htm		revue-1895		fulltext		AFRHC	serial								P	120432374
