publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
Albigeois et Cathares	9782130579205	9782130603665							https://www.cairn.info/albigeois-et-cathares--9782130579205.htm	Niel	albigeois-et-cathares--9782130579205		fulltext		Presses Universitaires de France	monograph	2010	2010		18e éd.		Que sais-je ?		P
Albigeois et Cathares	9782130564942	9782130600985							https://www.cairn.info/albigeois-et-cathares--9782130564942.htm	Niel	albigeois-et-cathares--9782130564942		fulltext		Presses Universitaires de France	monograph	2007	2010		17e éd.		Que sais-je ?		P
Apprentissage et formation	9782130549260	9782130597520							https://www.cairn.info/apprentissage-et-formation--9782130549260.htm	Berbaum	apprentissage-et-formation--9782130549260		fulltext		Presses Universitaires de France	monograph	2005	2010				Que sais-je ?		P
Aristote et le Lycée	9782130536574								https://www.cairn.info/aristote-et-le-lycee--9782130536574.htm	Brun	aristote-et-le-lycee--9782130536574		fulltext		Presses Universitaires de France	monograph	2004	2016		10e éd.		Que sais-je ?		P
Claude Lévi-Strauss	9782130531647	9782130596226							https://www.cairn.info/claude-levi-strauss--9782130531647.htm	Clément	claude-levi-strauss--9782130531647		fulltext		Presses Universitaires de France	monograph	2002	2010		4e éd.		Que sais-je ?		P
Claude Lévi-Strauss	9782130582632	9782130604297							https://www.cairn.info/claude-levi-strauss--9782130582632.htm	Clément	claude-levi-strauss--9782130582632		fulltext		Presses Universitaires de France	monograph	2010	2010		5e éd.		Que sais-je ?		P
Darwin et le darwinisme	9782130787693	9782130792239							https://www.cairn.info/darwin-et-le-darwinisme--9782130787693.htm	Tort	darwin-et-le-darwinisme--9782130787693		fulltext		Presses Universitaires de France	monograph	2017	2017		6e éd.		Que sais-je ?		P
Darwin et le darwinisme	9782130578871	9782130603504							https://www.cairn.info/darwin-et-le-darwinisme--9782130578871.htm	Tort	darwin-et-le-darwinisme--9782130578871		fulltext		Presses Universitaires de France	monograph	2009	2010		3e éd.		Que sais-je ?		P
Darwin et le darwinisme	9782130590101	9782130605720							https://www.cairn.info/darwin-et-le-darwinisme--9782130590101.htm	Tort	darwin-et-le-darwinisme--9782130590101		fulltext		Presses Universitaires de France	monograph	2011	2011		4e éd.		Que sais-je ?		P
Georges Canguilhem	9782130736714	9782130736738							https://www.cairn.info/georges-canguilhem--9782130736714.htm	Lecourt	georges-canguilhem--9782130736714		fulltext		Presses Universitaires de France	monograph	2016	2016		2e éd.		Que sais-je ?		P
Gilles Deleuze	9782130608486	9782130731610							https://www.cairn.info/Gilles Deleuze--9782130608486.htm	Krtolica	Gilles Deleuze--9782130608486		fulltext		Presses Universitaires de France	monograph	2015	2015				Que sais-je ?		P
Hegel et l'hégélianisme	9782130653523	9782130732778							https://www.cairn.info/hegel-et-l-hegelianisme--9782130653523.htm	Kervégan	hegel-et-l-hegelianisme--9782130653523		fulltext		Presses Universitaires de France	monograph	2015	2015		2e éd.		Que sais-je ?		P
Hegel et l’hégélianisme	9782130534051	9782130598206							https://www.cairn.info/hegel-et-l-hegelianisme--9782130534051.htm	Kervégan	hegel-et-l-hegelianisme--9782130534051		fulltext		Presses Universitaires de France	monograph	2005	2010				Que sais-je ?		P
Histoire de l'enfer	9782130460213	9782130599395							https://www.cairn.info/histoire-de-l-enfer--9782130460213.htm	Minois	histoire-de-l-enfer--9782130460213		fulltext		Presses Universitaires de France	monograph	1994	2010		2e éd.		Que sais-je ?		P
Histoire de la poésie française	9782130434610	9782130599258							https://www.cairn.info/histoire-de-la-poesie-francaise--9782130434610.htm	Rousselot	histoire-de-la-poesie-francaise--9782130434610		fulltext		Presses Universitaires de France	monograph	1996	2010		4e éd.		Que sais-je ?		P
Histoire de la sociologie	9782130545323	9782130597544							https://www.cairn.info/histoire-de-la-sociologie--9782130545323.htm	Giraud	histoire-de-la-sociologie--9782130545323		fulltext		Presses Universitaires de France	monograph	2004	2010		3e éd.		Que sais-je ?		P
Histoire des ordres religieux	9782130584216	9782130621812							https://www.cairn.info/histoire-des-ordres-religieux--9782130584216.htm	Hours	histoire-des-ordres-religieux--9782130584216		fulltext		Presses Universitaires de France	monograph	2012	2012				Que sais-je ?		P
Histoire du catholicisme	9782130569763	9782130601685							https://www.cairn.info/histoire-du-catholicisme--9782130569763.htm	Bruley	histoire-du-catholicisme--9782130569763		fulltext		Presses Universitaires de France	monograph	2008	2010		2e éd.		Que sais-je ?		P
Histoire du catholicisme	9782130585961	9782130605133							https://www.cairn.info/histoire-du-catholicisme--9782130585961.htm	Bruley	histoire-du-catholicisme--9782130585961		fulltext		Presses Universitaires de France	monograph	2010	2010		3eéd.		Que sais-je ?		P
Histoire du droit	9782130799566	9782130801405							https://www.cairn.info/histoire-du-droit--9782130799566.htm	Carbasse	histoire-du-droit--9782130799566		fulltext		Presses Universitaires de France	monograph	2017	2017		4e éd.		Que sais-je ?		P
Histoire du judaïsme	9782130798088	9782130801351							https://www.cairn.info/histoire-du-judaisme--9782130798088.htm	Smilevitch	histoire-du-judaisme--9782130798088		fulltext		Presses Universitaires de France	monograph	2017	2017		2e éd.		Que sais-je ?		P
Histoire du judaïsme	9782130525745	9782130597681							https://www.cairn.info/histoire-du-judaisme--9782130525745.htm	Chouraqui	histoire-du-judaisme--9782130525745		fulltext		Presses Universitaires de France	monograph	2002	2010		13e éd.		Que sais-je ?		P
Histoire du peuple hébreu	9782130575450	9782130602736							https://www.cairn.info/histoire-du-peuple-hebreu--9782130575450.htm	Lemaire	histoire-du-peuple-hebreu--9782130575450		fulltext		Presses Universitaires de France	monograph	2009	2010		8e éd.		Que sais-je ?		P
Histoire du protestantisme	9782130625865	9782130631743							https://www.cairn.info/histoire-du-protestantisme--9782130625865.htm	Baubérot	histoire-du-protestantisme--9782130625865		fulltext		Presses Universitaires de France	monograph	2013	2013		8e éd.		Que sais-je ?		P
Histoire du théâtre	9782130595441	9782130622604							https://www.cairn.info/histoire-du-theatre--9782130595441.htm	Viala	histoire-du-theatre--9782130595441		fulltext		Presses Universitaires de France	monograph	2012	2012		3e éd.		Que sais-je ?		P
Histoire du théâtre	9782130533801	9782130595670							https://www.cairn.info/histoire-du-theatre--9782130533801.htm	Viala	histoire-du-theatre--9782130533801		fulltext		Presses Universitaires de France	monograph	2005	2010				Que sais-je ?		P
Histoire du théâtre	9782130631484	9782130633105							https://www.cairn.info/histoire-du-theatre--9782130631484.htm	Viala	histoire-du-theatre--9782130631484		fulltext		Presses Universitaires de France	monograph	2014	2014		4e éd.		Que sais-je ?		P
Homère	9782130548300	9782130597483							https://www.cairn.info/homere--9782130548300.htm	de Romilly	homere--9782130548300		fulltext		Presses Universitaires de France	monograph	2005	2010		5e éd.		Que sais-je ?		P
Homère	9782130633600	9782130635284							https://www.cairn.info/homere--9782130633600.htm	de Romilly	homere--9782130633600		fulltext		Presses Universitaires de France	monograph	2014	2014		6e éd.		Que sais-je ?		P
Internet	9782130585480	9782130621836							https://www.cairn.info/internet--9782130585480.htm	Ghernaouti-Hélie (D)	internet--9782130585480		fulltext		Presses Universitaires de France	monograph	2012	2012		11eed.		Que sais-je ?		P
Internet	9782130554714	9782130596691							https://www.cairn.info/internet--9782130554714.htm	Dufour	internet--9782130554714		fulltext		Presses Universitaires de France	monograph	2006	2010		10e éd.		Que sais-je ?		P
Internet	9782130795001	9782130798835							https://www.cairn.info/internet--9782130795001.htm	Ghernaouti	internet--9782130795001		fulltext		Presses Universitaires de France	monograph	2017	2017		12e éd.		Que sais-je ?		P
Jean-Paul Sartre	9782130548799	9782130597636							https://www.cairn.info/jean-paul-sartre--9782130548799.htm	Cohen-Solal	jean-paul-sartre--9782130548799		fulltext		Presses Universitaires de France	monograph	2005	2010				Que sais-je ?		P
Jésus	9782130564898	9782130600954							https://www.cairn.info/jesus--9782130564898.htm	Perrot	jesus--9782130564898		fulltext		Presses Universitaires de France	monograph	2007	2010		5e éd.		Que sais-je ?		P
Jésus	9782130627586	9782130627593							https://www.cairn.info/jesus--9782130627586.htm	Perrot	jesus--9782130627586		fulltext		Presses Universitaires de France	monograph	2014	2014		6e éd.		Que sais-je ?		P
L'alchimie	9782130549178	9782130597209							https://www.cairn.info/l-alchimie--9782130549178.htm	Hutin	l-alchimie--9782130549178		fulltext		Presses Universitaires de France	monograph	2005	2010		11e éd.		Que sais-je ?		P
L'analyse de la poésie	9782130520672	9782130598381							https://www.cairn.info/l-analyse-de-la-poesie--9782130520672.htm	Gouvard	l-analyse-de-la-poesie--9782130520672		fulltext		Presses Universitaires de France	monograph	2001	2010				Que sais-je ?		P
L'analyse des données	9782130554448	9782130596189							https://www.cairn.info/l-analyse-des-donnees--9782130554448.htm	Bouroche	l-analyse-des-donnees--9782130554448		fulltext		Presses Universitaires de France	monograph	2006	2010		9e éd.		Que sais-je ?		P
L'analyse du discours	9782130652250	9782130736530							https://www.cairn.info/l-analyse-du-discours--9782130652250.htm	Mazière	l-analyse-du-discours--9782130652250		fulltext		Presses Universitaires de France	monograph	2016	2016		3e éd.		Que sais-je ?		P
L'analyse transactionnelle	9782130799740	9782130801429							https://www.cairn.info/l-analyse-transactionnelle--9782130799740.htm	Chandezon	l-analyse-transactionnelle--9782130799740		fulltext		Presses Universitaires de France	monograph	2017	2017		13e éd.		Que sais-je ?		P
L'ancien français	9782130562191	9782130600541							https://www.cairn.info/l-ancien-francais--9782130562191.htm	Zink	l-ancien-francais--9782130562191		fulltext		Presses Universitaires de France	monograph	2007	2010		6e éd.		Que sais-je ?		P
L'apprentissage précoce des langues	9782130537670	9782130598473							https://www.cairn.info/l-apprentissage-precoce-des-langues--9782130537670.htm	Porcher	l-apprentissage-precoce-des-langues--9782130537670		fulltext		Presses Universitaires de France	monograph	2003	2010		2e éd.		Que sais-je ?		P
L'arabe	9782130559610	9782130597247							https://www.cairn.info/l-arabe--9782130559610.htm	Kouloughli	l-arabe--9782130559610		fulltext		Presses Universitaires de France	monograph	2007	2010				Que sais-je ?		P
L'argot	9782130559832	9782130600145							https://www.cairn.info/l-argot--9782130559832.htm	Calvet	l-argot--9782130559832		fulltext		Presses Universitaires de France	monograph	2007	2010		3e éd.		Que sais-je ?		P
L'astrophysique nucléaire	9782130533009	9782130599531							https://www.cairn.info/l-astrophysique-nucleaire--9782130533009.htm	Audouze	l-astrophysique-nucleaire--9782130533009		fulltext		Presses Universitaires de France	monograph	2003	2010		4e éd.		Que sais-je ?		P
L'enseignement littéraire	9782130544128	9782130597773							https://www.cairn.info/l-enseignement-litteraire--9782130544128.htm	Aron	l-enseignement-litteraire--9782130544128		fulltext		Presses Universitaires de France	monograph	2005	2010				Que sais-je ?		P
L'ergonomie	9782130749882	9782130749905							https://www.cairn.info/l-ergonomie--9782130749882.htm	Lancry	l-ergonomie--9782130749882		fulltext		Presses Universitaires de France	monograph	2016	2016		2e		Que sais-je ?		P
L'esprit baroque	9782130465287	9782130599081							https://www.cairn.info/l-esprit-baroque--9782130465287.htm	Angoulvent	l-esprit-baroque--9782130465287		fulltext		Presses Universitaires de France	monograph	1994	2010		2e éd.		Que sais-je ?		P
L'ethnométhodologie	9782130634935	9782130652427							https://www.cairn.info/l-ethnomethodologie--9782130634935.htm	Coulon	l-ethnomethodologie--9782130634935		fulltext		Presses Universitaires de France	monograph	2014	2014		6e éd.		Que sais-je ?		P
L'excision	9782130520627	9782130596684							https://www.cairn.info/l-excision--9782130520627.htm	Couchard	l-excision--9782130520627		fulltext		Presses Universitaires de France	monograph	2003	2010				Que sais-je ?		P
L'exclusion	9782130630166	9782130630173							https://www.cairn.info/l-exclusion--9782130630166.htm	Damon	l-exclusion--9782130630166		fulltext		Presses Universitaires de France	monograph	2014	2014		4e éd.		Que sais-je ?		P
L'exclusion	9782130577942	9782130603306							https://www.cairn.info/l-exclusion--9782130577942.htm	Damon	l-exclusion--9782130577942		fulltext		Presses Universitaires de France	monograph	2009	2010		2e éd.		Que sais-je ?		P
L'herméneutique	9782130787686	9782130792758							https://www.cairn.info/l-hermeneutique--9782130787686.htm	Grondin	l-hermeneutique--9782130787686		fulltext		Presses Universitaires de France	monograph	2017	2017		4e éd.		Que sais-je ?		P
L'hindouisme	9782130521709	9782130598619							https://www.cairn.info/l-hindouisme--9782130521709.htm	Renou	l-hindouisme--9782130521709		fulltext		Presses Universitaires de France	monograph	2008	2010		14e éd.		Que sais-je ?		P
L'homophobie	9782130521792	9782130598213							https://www.cairn.info/l-homophobie--9782130521792.htm	Borrillo	l-homophobie--9782130521792		fulltext		Presses Universitaires de France	monograph	2001	2010		2e éd.		Que sais-je ?		P
L'hôpital	9782130634072	9782130730316							https://www.cairn.info/l-hopital--9782130634072.htm	de Kervasdoué	l-hopital--9782130634072		fulltext		Presses Universitaires de France	monograph	2015	2015		5e éd.		Que sais-je ?		P
L'imaginaire	9782130534716	9782130596929							https://www.cairn.info/l-imaginaire--9782130534716.htm	Wunenburger	l-imaginaire--9782130534716		fulltext		Presses Universitaires de France	monograph	2003	2010				Que sais-je ?		P
L'imaginaire	9782130608585	9782130623014							https://www.cairn.info/l-imaginaire--9782130608585.htm	Wunenburger	l-imaginaire--9782130608585		fulltext		Presses Universitaires de France	monograph	2013	2013		2e éd.		Que sais-je ?		P
L'insertion des jeunes en France	9782130554882	9782130596271							https://www.cairn.info/l-insertion-des-jeunes-en-france--9782130554882.htm	Nicole-Drancourt	l-insertion-des-jeunes-en-france--9782130554882		fulltext		Presses Universitaires de France	monograph	2006	2010		4e éd.		Que sais-je ?		P
L'irrationnel	9782130553922	9782130595946							https://www.cairn.info/l-irrationnel--9782130553922.htm	Bonardel	l-irrationnel--9782130553922		fulltext		Presses Universitaires de France	monograph	2005	2010		2e éd.		Que sais-je ?		P
L'orthographe	9782130537984	9782130598107							https://www.cairn.info/l-orthographe--9782130537984.htm	Catach	l-orthographe--9782130537984		fulltext		Presses Universitaires de France	monograph	2003	2010		9e éd.		Que sais-je ?		P
L'orthophonie en France	9782130607717	9782130622864							https://www.cairn.info/l-orthophonie-en-france--9782130607717.htm	Kremer	l-orthophonie-en-france--9782130607717		fulltext		Presses Universitaires de France	monograph	2012	2012		7e éd.		Que sais-je ?		P
L'École de Chicago	9782130531319	9782130599593							https://www.cairn.info/l-ecole-de-chicago--9782130531319.htm	Coulon	l-ecole-de-chicago--9782130531319		fulltext		Presses Universitaires de France	monograph	2002	2010		4e éd.		Que sais-je ?		P
L'École de Francfort	9782130519133	9782130599234							https://www.cairn.info/l-ecole-de-francfort--9782130519133.htm	Assoun	l-ecole-de-francfort--9782130519133		fulltext		Presses Universitaires de France	monograph	2001	2010		3e éd.		Que sais-je ?		P
L'Église orthodoxe	9782130580812	9782130603870							https://www.cairn.info/l-eglise-orthodoxe--9782130580812.htm	Clément	l-eglise-orthodoxe--9782130580812		fulltext		Presses Universitaires de France	monograph	2010	2010		7e éd.		Que sais-je ?		P
L'échec scolaire	9782130483618	9782130598329							https://www.cairn.info/l-echec-scolaire--9782130483618.htm	Best	l-echec-scolaire--9782130483618		fulltext		Presses Universitaires de France	monograph	1996	2010		2e éd.		Que sais-je ?		P
L'écriture	9782130536475	9782130598251							https://www.cairn.info/l-ecriture--9782130536475.htm	Higounet	l-ecriture--9782130536475		fulltext		Presses Universitaires de France	monograph	2003	2010		11e éd.		Que sais-je ?		P
L'écriture chinoise	9782130529217	9782130599647							https://www.cairn.info/l-ecriture-chinoise--9782130529217.htm	Alleton	l-ecriture-chinoise--9782130529217		fulltext		Presses Universitaires de France	monograph	2002	2010		6e éd.		Que sais-je ?		P
L'écriture journalistique	9782130633389	9782130652823							https://www.cairn.info/l-ecriture-journalistique--9782130633389.htm	Mouriquand	l-ecriture-journalistique--9782130633389		fulltext		Presses Universitaires de France	monograph	2015	2015		5e éd.		Que sais-je ?		P
L'éducation interculturelle	9782130787631	9782130792253							https://www.cairn.info/l-education-interculturelle--9782130787631.htm	Abdallah-Pretceille	l-education-interculturelle--9782130787631		fulltext		Presses Universitaires de France	monograph	2017	2017		5e éd.		Que sais-je ?		P
L'énergie nucléaire	9782130594925	9782130622468							https://www.cairn.info/l-energie-nucleaire--9782130594925.htm	Reuss	l-energie-nucleaire--9782130594925		fulltext		Presses Universitaires de France	monograph	2012	2012		4e éd.		Que sais-je ?		P
L'éthique animale	9782130634393	9782130731078							https://www.cairn.info/l-ethique-animale--9782130634393.htm	Jeangène Vilmer	l-ethique-animale--9782130634393		fulltext		Presses Universitaires de France	monograph	2015	2015				Que sais-je ?		P
L'éthique du « care »	9782130789222	9782130790396							https://www.cairn.info/l-ethique-du-care--9782130789222.htm	Brugère	l-ethique-du-care--9782130789222		fulltext		Presses Universitaires de France	monograph	2017	2017		3e éd.		Que sais-je ?		P
L'éthique médicale et la bioéthique	9782130535386	9782130595632							https://www.cairn.info/l-ethique-medicale-bioethique--9782130535386.htm	Sicard	l-ethique-medicale-bioethique--9782130535386		fulltext		Presses Universitaires de France	monograph	2009	2010				Que sais-je ?		P
L'éthique médicale et la bioéthique	9782130619710	9782130623267							https://www.cairn.info/l-ethique-medicale-et-la-bioethique--9782130619710.htm	Sicard	l-ethique-medicale-et-la-bioethique--9782130619710		fulltext		Presses Universitaires de France	monograph	2013	2013		3e éd.		Que sais-je ?		P
La Grande Loge Féminine de France	9782130576921	9782130603245							https://www.cairn.info/la-grande-loge-feminine-de-france--9782130576921.htm	Picart	la-grande-loge-feminine-de-france--9782130576921		fulltext		Presses Universitaires de France	monograph	2009	2010		2e éd.		Que sais-je ?		P
La Grande Loge nationale française	9782130573883	9782130602286							https://www.cairn.info/la-grande-loge-nationale-francaise--9782130573883.htm	Murat	la-grande-loge-nationale-francaise--9782130573883		fulltext		Presses Universitaires de France	monograph	2009	2010		2e éd.		Que sais-je ?		P
La Kabbale	9782130526834	9782130599791							https://www.cairn.info/la-kabbale--9782130526834.htm	Goetschel	la-kabbale--9782130526834		fulltext		Presses Universitaires de France	monograph	2002	2010		6e éd.		Que sais-je ?		P
La Kabbale	9782130580881	9782130603924							https://www.cairn.info/la-kabbale--9782130580881.htm	Goetschel	la-kabbale--9782130580881		fulltext		Presses Universitaires de France	monograph	2010	2010		7e éd.		Que sais-je ?		P
La Kabbale	9782130621232	9782130631767							https://www.cairn.info/la-kabbale--9782130621232.htm	Goetschel	la-kabbale--9782130621232		fulltext		Presses Universitaires de France	monograph	2013	2013		8e éd.		Que sais-je ?		P
La Tradition musulmane	9782130520740	9782130596004							https://www.cairn.info/la-tradition-musulmane--9782130520740.htm	Merad	la-tradition-musulmane--9782130520740		fulltext		Presses Universitaires de France	monograph	2001	2010				Que sais-je ?		P
La bande dessinée	9782130561071	9782130600312							https://www.cairn.info/la-bande-dessinee--9782130561071.htm	Baron-Carvais	la-bande-dessinee--9782130561071		fulltext		Presses Universitaires de France	monograph	2007	2010		5e éd.		Que sais-je ?		P
La carte scolaire	9782130566915	9782130601449							https://www.cairn.info/la-carte-scolaire--9782130566915.htm	van Zanten	la-carte-scolaire--9782130566915		fulltext		Presses Universitaires de France	monograph	2008	2010				Que sais-je ?		P
La carte scolaire	9782130584407	9782130604754							https://www.cairn.info/la-carte-scolaire--9782130584407.htm	van Zanten	la-carte-scolaire--9782130584407		fulltext		Presses Universitaires de France	monograph	2010	2010		2eéd		Que sais-je ?		P
La communication	9782130558101	9782130597155							https://www.cairn.info/la-communication--9782130558101.htm	Sfez	la-communication--9782130558101		fulltext		Presses Universitaires de France	monograph	2006	2010		7e éd.		Que sais-je ?		P
La communication	9782130577973	9782130603320							https://www.cairn.info/la-communication--9782130577973.htm	Sfez	la-communication--9782130577973		fulltext		Presses Universitaires de France	monograph	2010	2010		8e éd.		Que sais-je ?		P
La communication publique	9782130564102	9782130600763							https://www.cairn.info/la-communication-publique--9782130564102.htm	Zémor	la-communication-publique--9782130564102		fulltext		Presses Universitaires de France	monograph	2008	2010		4e éd.		Que sais-je ?		P
La consommation	9782130535317	9782130598237							https://www.cairn.info/la-consommation--9782130535317.htm	Desjeux	la-consommation--9782130535317		fulltext		Presses Universitaires de France	monograph	2006	2010				Que sais-je ?		P
La couleur	9782130632153								https://www.cairn.info/la-couleur--9782130632153.htm	Déribéré	la-couleur--9782130632153		fulltext		Presses Universitaires de France	monograph	2014	2014		12e éd.		Que sais-je ?		P
La couleur	9782130566557	9782130601395							https://www.cairn.info/la-couleur--9782130566557.htm	Déribéré	la-couleur--9782130566557		fulltext		Presses Universitaires de France	monograph	2008	2010		11e éd.		Que sais-je ?		P
La crise des banlieues	9782130582717	9782130604372							https://www.cairn.info/la-crise-des-banlieues--9782130582717.htm	Stébé	la-crise-des-banlieues--9782130582717		fulltext		Presses Universitaires de France	monograph	2010	2010		4e éd.		Que sais-je ?		P
La crise des banlieues	9782130559566	9782130600107							https://www.cairn.info/la-crise-des-banlieues--9782130559566.htm	Stébé	la-crise-des-banlieues--9782130559566		fulltext		Presses Universitaires de France	monograph	2007	2010		3e éd.		Que sais-je ?		P
La critique littéraire	9782130523260	9782130595717							https://www.cairn.info/la-critique-litteraire--9782130523260.htm	Brunel	la-critique-litteraire--9782130523260		fulltext		Presses Universitaires de France	monograph	2001	2010				Que sais-je ?		P
La cybersécurité	9782130652199	9782130731726							https://www.cairn.info/la-cybersecurite--9782130652199.htm	Arpagian	la-cybersecurite--9782130652199		fulltext		Presses Universitaires de France	monograph	2015	2015		2e éd.		Que sais-je ?		P
La didactique des langues étrangères	9782130565536	9782130601104							https://www.cairn.info/la-didactique-des-langues-etrangeres--9782130565536.htm	Martinez	la-didactique-des-langues-etrangeres--9782130565536		fulltext		Presses Universitaires de France	monograph	2008	2010		5e éd.		Que sais-je ?		P
La didactique des langues étrangères	9782130632245	9782130652625							https://www.cairn.info/la-didactique-des-langues-etrangeres--9782130632245.htm	Martinez	la-didactique-des-langues-etrangeres--9782130632245		fulltext		Presses Universitaires de France	monograph	2014	2014		7e éd.		Que sais-je ?		P
La didactique des sciences	9782130523475	9782130599821							https://www.cairn.info/la-didactique-des-sciences--9782130523475.htm	Astolfi	la-didactique-des-sciences--9782130523475		fulltext		Presses Universitaires de France	monograph	2002	2010		6e éd.		Que sais-je ?		P
La didactique des sciences	9782130749745	9782130785828							https://www.cairn.info/la-didactique-des-sciences--9782130749745.htm	Astolfi	la-didactique-des-sciences--9782130749745		fulltext		Presses Universitaires de France	monograph	2016	2016		7e éd.		Que sais-je ?		P
La didactique du français	9782130525479	9782130596639							https://www.cairn.info/la-didactique-du-francais--9782130525479.htm	Rosier	la-didactique-du-francais--9782130525479		fulltext		Presses Universitaires de France	monograph	2002	2010				Que sais-je ?		P
La démographie	9782130586104	9782130605157							https://www.cairn.info/la-demographie--9782130586104.htm	Chesnais	la-demographie--9782130586104		fulltext		Presses Universitaires de France	monograph	2010	2010		7e éd.		Que sais-je ?		P
La démographie	9782130551065	9782130596547							https://www.cairn.info/la-demographie--9782130551065.htm	Chesnais	la-demographie--9782130551065		fulltext		Presses Universitaires de France	monograph	2005	2010		6e éd.		Que sais-je ?		P
La fantasy	9782130551584	9782130595755							https://www.cairn.info/la-fantasy--9782130551584.htm	Baudou	la-fantasy--9782130551584		fulltext		Presses Universitaires de France	monograph	2005	2010				Que sais-je ?		P
La femme dans la société française	9782130521730	9782130599326							https://www.cairn.info/la-femme-dans-la-societe-francaise--9782130521730.htm	Blöss	la-femme-dans-la-societe-francaise--9782130521730		fulltext		Presses Universitaires de France	monograph	2001	2010		4e éd.		Que sais-je ?		P
La formation de la langue française	9782130414780	9782130598992							https://www.cairn.info/la-formation-de-la-langue-francaise--9782130414780.htm	Allières	la-formation-de-la-langue-francaise--9782130414780		fulltext		Presses Universitaires de France	monograph	1996	2010		3e éd.		Que sais-je ?		P
La fracture sociale	9782130520696	9782130597025							https://www.cairn.info/la-fracture-sociale--9782130520696.htm	Emmanuelli	la-fracture-sociale--9782130520696		fulltext		Presses Universitaires de France	monograph	2002	2010				Que sais-je ?		P
La franc-maçonnerie	9782130594963	9782130628064							https://www.cairn.info/la-franc-maconnerie--9782130594963.htm	Dachez	la-franc-maconnerie--9782130594963		fulltext		Presses Universitaires de France	monograph	2013	2013				Que sais-je ?		P
La franc-maçonnerie	9782130524892	9782130599876							https://www.cairn.info/la-franc-maconnerie--9782130524892.htm	Naudon	la-franc-maconnerie--9782130524892		fulltext		Presses Universitaires de France	monograph	2002	2010		18e éd.		Que sais-je ?		P
La franc-maçonnerie	9782130750222	9782130789208							https://www.cairn.info/la-franc-maconnerie--9782130750222.htm	Dachez	la-franc-maconnerie--9782130750222		fulltext		Presses Universitaires de France	monograph	2016	2016		2e éd		Que sais-je ?		P
La gastronomie	9782130560883	9782130596981							https://www.cairn.info/la-gastronomie--9782130560883.htm	Vitaux	la-gastronomie--9782130560883		fulltext		Presses Universitaires de France	monograph	2007	2010				Que sais-je ?		P
La grande loge de France	9782130561996	9782130600466							https://www.cairn.info/la-grande-loge-de-france--9782130561996.htm	Graesel	la-grande-loge-de-france--9782130561996		fulltext		Presses Universitaires de France	monograph	2008	2010				Que sais-je ?		P
La grossesse et le tabac	9782130572503	9782130606161							https://www.cairn.info/la-grossesse-et-le-tabac--9782130572503.htm	Delcroix	la-grossesse-et-le-tabac--9782130572503		fulltext		Presses Universitaires de France	monograph	2011	2011				Que sais-je ?		P
La géologie	9782130553236	9782130595861							https://www.cairn.info/la-geologie--9782130553236.htm	Dars	la-geologie--9782130553236		fulltext		Presses Universitaires de France	monograph	2005	2010		4e éd.		Que sais-je ?		P
La gérontologie	9782130565413	9782130601098							https://www.cairn.info/la-gerontologie--9782130565413.htm	De Jaeger	la-gerontologie--9782130565413		fulltext		Presses Universitaires de France	monograph	2008	2010		3e éd.		Que sais-je ?		P
La langue corse	9782130529460	9782130597599							https://www.cairn.info/la-langue-corse--9782130529460.htm	Dalbera-Stefanaggi	la-langue-corse--9782130529460		fulltext		Presses Universitaires de France	monograph	2002	2010				Que sais-je ?		P
La lexicologie	9782130505778	9782130598114							https://www.cairn.info/la-lexicologie--9782130505778.htm	Eluerd	la-lexicologie--9782130505778		fulltext		Presses Universitaires de France	monograph	2000	2010				Que sais-je ?		P
La liberté	9782130530336	9782130597391							https://www.cairn.info/la-liberte--9782130530336.htm	Laupies	la-liberte--9782130530336		fulltext		Presses Universitaires de France	monograph	2004	2010				Que sais-je ?		P
La linguistique	9782130557098	9782130597056							https://www.cairn.info/la-linguistique--9782130557098.htm	Perrot	la-linguistique--9782130557098		fulltext		Presses Universitaires de France	monograph	2007	2010		17e éd.		Que sais-je ?		P
La linguistique	9782130584575	9782130604877							https://www.cairn.info/la-linguistique--9782130584575.htm	Perrot	la-linguistique--9782130584575		fulltext		Presses Universitaires de France	monograph	2010	2010		18eéd.		Que sais-je ?		P
La littérature américaine	9782130541240	9782130597346							https://www.cairn.info/la-litterature-americaine--9782130541240.htm	Royot	la-litterature-americaine--9782130541240		fulltext		Presses Universitaires de France	monograph	2004	2010				Que sais-je ?		P
La littérature anglaise	9782130542179	9782130596332							https://www.cairn.info/la-litterature-anglaise--9782130542179.htm	Regard	la-litterature-anglaise--9782130542179		fulltext		Presses Universitaires de France	monograph	2007	2010				Que sais-je ?		P
La littérature arthurienne	9782130510499	9782130598152							https://www.cairn.info/la-litterature-arthurienne--9782130510499.htm	Delcourt	la-litterature-arthurienne--9782130510499		fulltext		Presses Universitaires de France	monograph	2000	2010				Que sais-je ?		P
La littérature comparée	9782130732938	9782130732952							https://www.cairn.info/la-litterature-comparee--9782130732938.htm	Chevrel	la-litterature-comparee--9782130732938		fulltext		Presses Universitaires de France	monograph	2016	2016		7e éd.		Que sais-je ?		P
