publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id_	access_type
Automorphic Forms and Number Theory	978-0-44487-940-0	978-4-86497-065-5							https://projecteuclid.org/proceedings/advanced-studies-in-pure-mathematics/automorphic-forms-and-number-theory/toc/10.2969/aspm/00710000		euclid.aspm/1525309935		fulltext		Mathematical Society of Japan	Monograph	1985	43223.0	7		Satake	euclid.aspm/0920-1971		F
Complex Analytic Singularities	978-0-44470-200-5	978-4-86497-066-2							https://projecteuclid.org/proceedings/advanced-studies-in-pure-mathematics/complex-analytic-singularities/toc/10.2969/aspm/00810000		euclid.aspm/1525310057		fulltext		Mathematical Society of Japan	Monograph	1987	43251.0	8		Suwa	euclid.aspm/0920-1971		F
Homotopy Theory and Related Topics	978-0-44470-201-2	978-4-86497-067-9							https://projecteuclid.org/proceedings/advanced-studies-in-pure-mathematics/homotopy-theory-and-related-topics/toc/10.2969/aspm/00910000		euclid.aspm/1525310142		fulltext		Mathematical Society of Japan	Monograph	1987	43223.0	9		Toda	euclid.aspm/0920-1971		F
Algebraic Geometry, Sendai, 1985	978-0-44470-313-2	978-4-86497-068-6							https://projecteuclid.org/proceedings/advanced-studies-in-pure-mathematics/algebraic-geometry-sendai-1985/toc/10.2969/aspm/01010000		euclid.aspm/1525310259		fulltext		Mathematical Society of Japan	Monograph	1987	43223.0	10		Oda	euclid.aspm/0920-1971		F
Commutative Algebra and Combinatorics	978-0-44470-314-9	978-4-86497-069-3							https://projecteuclid.org/proceedings/advanced-studies-in-pure-mathematics/commutative-algebra-and-combinatorics/toc/10.2969/aspm/01110000		euclid.aspm/1527702052		fulltext		Mathematical Society of Japan	Monograph	1987	43250.0	11		Nagata	euclid.aspm/0920-1971		F
Galois Representations and Arithmetic Algebraic Geometry	978-0-44470-315-6	978-4-86497-070-9							https://projecteuclid.org/proceedings/advanced-studies-in-pure-mathematics/galois-representations-and-arithmetic-algebraic-geometry/toc/10.2969/aspm/01210000		euclid.aspm/1527702157		fulltext		Mathematical Society of Japan	Monograph	1987	43250.0	12		Ihara	euclid.aspm/0920-1971		F
Investigations in Number Theory	978-4-87573-123-8	978-4-86497-071-6							https://projecteuclid.org/proceedings/advanced-studies-in-pure-mathematics/investigations-in-number-theory/toc/10.2969/aspm/01310000		euclid.aspm/1527702250		fulltext		Mathematical Society of Japan	Monograph	1988	43250.0	13		Kubota	euclid.aspm/0920-1971		F
Representations of Lie Groups, Kyoto, Hiroshima, 1986	978-4-31410-010-6	978-4-86497-072-3							https://projecteuclid.org/proceedings/advanced-studies-in-pure-mathematics/representations-of-lie-groups-kyoto-hiroshima-1986/toc/10.2969/aspm/01410000		euclid.aspm/1527733089		fulltext		Mathematical Society of Japan	Monograph	1988	43251.0	14		Okamoto	euclid.aspm/0920-1971		F
Automorphic Forms and Geometry of Arithmetic Varieties	978-4-31410-015-1	978-4-86497-073-0							https://projecteuclid.org/proceedings/advanced-studies-in-pure-mathematics/automorphic-forms-and-geometry-of-arithmetic-varieties/toc/10.2969/aspm/01510000		euclid.aspm/1527733189		fulltext		Mathematical Society of Japan	Monograph	1989	43251.0	15		Hashimoto	euclid.aspm/0920-1971		F
Conformal Field Theory and Solvable Lattice Models	978-4-87573-124-5	978-4-86497-074-7							https://projecteuclid.org/proceedings/advanced-studies-in-pure-mathematics/conformal-field-theory-and-solvable-lattice-models/toc/10.2969/aspm/01610000		euclid.aspm/1529258074		fulltext		Mathematical Society of Japan	Monograph	1988	43268.0	16		Jimbo	euclid.aspm/0920-1971		F
Algebraic Number Theory  in honor of K. Iwasawa	978-4-31410-016-8	978-4-86497-075-4							https://projecteuclid.org/proceedings/advanced-studies-in-pure-mathematics/algebraic-number-theory-in-honor-of-k-iwasawa/toc/10.2969/aspm/01710000		euclid.aspm/1529259056		fulltext		Mathematical Society of Japan	Monograph	1989	43268.0	17		Coates	euclid.aspm/0920-1971		F
Recent Topics in Differential and Analytic Geometry	978-4-31410-031-1	978-4-86497-076-1							https://projecteuclid.org/proceedings/advanced-studies-in-pure-mathematics/recent-topics-in-differential-and-analytic-geometry/toc/10.2969/aspm/01810000		euclid.aspm/1529259284		fulltext		Mathematical Society of Japan	Monograph	1990	43268.0	18-I		Ochiai	euclid.aspm/0920-1971		F
Kähler Metric and Moduli Spaces	978-4-31410-032-8	978-4-86497-077-8							https://projecteuclid.org/proceedings/advanced-studies-in-pure-mathematics/kahler-metric-and-moduli-spaces/toc/10.2969/aspm/01820000		euclid.aspm/1529259540		fulltext		Mathematical Society of Japan	Monograph	1990	43273.0	18-II		Ochiai	euclid.aspm/0920-1971		F
Integrable Systems in Quantum Field Theory and Statistical Mechanics	978-4-31410-021-2	978-4-86497-078-5							https://projecteuclid.org/proceedings/advanced-studies-in-pure-mathematics/integrable-systems-in-quantum-field-theory-and-statistical-mechanics/toc/10.2969/aspm/01910000		euclid.aspm/1529259744		fulltext		Mathematical Society of Japan	Monograph	1989	43272.0	19		Jimbo	euclid.aspm/0920-1971		F
Aspects of Low Dimensional Manifolds	978-4-31410-077-9	978-4-931469-70-9							https://projecteuclid.org/proceedings/advanced-studies-in-pure-mathematics/aspects-of-low-dimensional-manifolds/toc/10.2969/aspm/02010000		euclid.aspm/1529259963		fulltext		Mathematical Society of Japan	Monograph	1992	43268.0	20		Matsumoto	euclid.aspm/0920-1971		F
Zeta Functions in Geometry	978-4-31410-078-6	978-4-931469-71-6							https://projecteuclid.org/proceedings/advanced-studies-in-pure-mathematics/zeta-functions-in-geometry/toc/10.2969/aspm/02110000		euclid.aspm/1534359109		fulltext		Mathematical Society of Japan	Monograph	1992	43332.0	21		Kurokawa	euclid.aspm/0920-1971		F
Progress in Differential Geometry	978-4-31410-105-9	978-4-931469-72-3							https://projecteuclid.org/proceedings/advanced-studies-in-pure-mathematics/progress-in-differential-geometry/toc/10.2969/aspm/02210000		euclid.aspm/1534359509		fulltext		Mathematical Society of Japan	Monograph	1993	43327.0	22		Shiohama	euclid.aspm/0920-1971		F
Spectral and Scattering Theory and Applications	978-4-31410-107-3	978-4-931469-73-0							https://projecteuclid.org/proceedings/advanced-studies-in-pure-mathematics/spectral-and-scattering-theory-and-applications/toc/10.2969/aspm/02310000		euclid.aspm/1534359736		fulltext		Mathematical Society of Japan	Monograph	1994	43332.0	23		Yajima	euclid.aspm/0920-1971		F
Progress in Algebraic Combinatorics	978-4-31410-119-6	978-4-931469-74-7							https://projecteuclid.org/proceedings/advanced-studies-in-pure-mathematics/progress-in-algebraic-combinatorics/toc/10.2969/aspm/02410000		euclid.aspm/1534360724		fulltext		Mathematical Society of Japan	Monograph	1996	43327.0	24		Bannai	euclid.aspm/0920-1971		F
CR-Geometry and Overdetermined Systems	978-4-31410-127-1	978-4-931469-75-4							https://projecteuclid.org/proceedings/advanced-studies-in-pure-mathematics/cr-geometry-and-overdetermined-systems/toc/10.2969/aspm/02510000		euclid.aspm/1534361100		fulltext		Mathematical Society of Japan	Monograph	1997	43327.0	25		Akahori	euclid.aspm/0920-1971		F
Analysis on Homogeneous Spaces and Representation Theory of Lie Groups, Okayama-Kyoto	978-4-31410-138-7	978-4-931469-76-1							https://projecteuclid.org/proceedings/advanced-studies-in-pure-mathematics/analysis-on-homogeneous-spaces-and-representation-theory-of-lie-groups-okayama-kyoto/toc/10.2969/aspm/02610000		euclid.aspm/1534788116		fulltext		Mathematical Society of Japan	Monograph	2000	43332.0	26		Kobayashi	euclid.aspm/0920-1971		F
Arrangements  Tokyo 1998	978-4-31410-140-0	978-4-931469-77-8							https://projecteuclid.org/proceedings/advanced-studies-in-pure-mathematics/arrangements-tokyo-1998/toc/10.2969/aspm/02710000		euclid.aspm/1534788958		fulltext		Mathematical Society of Japan	Monograph	2000	43332.0	27		Falk	euclid.aspm/0920-1971		F
Combinatorial Methods in Representation Theory	978-4-31410-141-7	978-4-931469-78-5							https://projecteuclid.org/proceedings/advanced-studies-in-pure-mathematics/combinatorial-methods-in-representation-theory/toc/10.2969/aspm/02810000		euclid.aspm/1534789248		fulltext		Mathematical Society of Japan	Monograph	2000	43332.0	28		Koike	euclid.aspm/0920-1971		F
Singularities  Sapporo 1998	978-4-31410-143-1	978-4-931469-79-2							https://projecteuclid.org/proceedings/advanced-studies-in-pure-mathematics/singularities-sapporo-1998/toc/10.2969/aspm/02910000		euclid.aspm/1534789543		fulltext		Mathematical Society of Japan	Monograph	2000	43333.0	29		Brasselet	euclid.aspm/0920-1971		F
Class Field Theory  Its Centenary and Prospect	978-4-931469-11-2	978-4-931469-80-8							https://projecteuclid.org/proceedings/advanced-studies-in-pure-mathematics/class-field-theory-its-centenary-and-prospect/toc/10.2969/aspm/03010000		euclid.aspm/1536853262		fulltext		Mathematical Society of Japan	Monograph	2001	43356.0	30		Miyake	euclid.aspm/0920-1971		F
Algebraic Varieties and Automorphism Groups	978-4-86497-048-8	978-4-86497-049-5							https://projecteuclid.org/proceedings/advanced-studies-in-pure-mathematics/algebraic-varieties-and-automorphism-groups/toc/10.2969/aspm/07510000		euclid.aspm/1537498698		fulltext		Mathematical Society of Japan	Monograph	2017	43364.0	75		Masuda	euclid.aspm/0920-1971		P
Representation Theory, Special Functions and Painlevé Equations  RIMS 2015	978-4-86497-050-1	978-4-86497-051-8							https://projecteuclid.org/proceedings/advanced-studies-in-pure-mathematics/representation-theory-special-functions-and-painleve-equations-rims-2015/toc/10.2969/aspm/07610000		euclid.aspm/1537499417		fulltext		Mathematical Society of Japan	Monograph	2018	43364.0	76		Konno	euclid.aspm/0920-1971		P
The 50th Anniversary of Gröbner Bases	978-4-86497-052-5	978-4-86497-053-2							https://projecteuclid.org/proceedings/advanced-studies-in-pure-mathematics/the-50th-anniversary-of-grobner-bases/toc/10.2969/aspm/07710000		euclid.aspm/1537499590		fulltext		Mathematical Society of Japan	Monograph	2018	43364.0	77		Hibi	euclid.aspm/0920-1971		P
Singularities in Generic Geometry	978-4-86497-055-6	978-4-86497-056-3							https://projecteuclid.org/proceedings/advanced-studies-in-pure-mathematics/singularities-in-generic-geometry/toc/10.2969/aspm/07810000		euclid.aspm/1538618965		fulltext		Mathematical Society of Japan	Monograph	2018	43377.0	78		Izumiya	euclid.aspm/0920-1971		P
School on Real and Complex Singularities in São Carlos, 2012	978-4-86497-030-3	978-4-86497-031-0							https://projecteuclid.org/proceedings/advanced-studies-in-pure-mathematics/school-on-real-and-complex-singularities-in-sao-carlos-2012/toc/10.2969/aspm/06810000		euclid.aspm/1538621975		fulltext		Mathematical Society of Japan	Monograph	2016	43377.0	68		Araújo dos Santos	euclid.aspm/0920-1971		F
Development of Moduli Theory  Kyoto 2013	978-4-86497-032-7	978-4-86497-033-4							https://projecteuclid.org/proceedings/advanced-studies-in-pure-mathematics/minimal-models-and-extremal-rays-kyoto-2011/toc/10.2969/aspm/07010000		euclid.aspm/1538622422		fulltext		Mathematical Society of Japan	Monograph	2016	43377.0	69		Fujino	euclid.aspm/0920-1971		F
Minimal Models and Extremal Rays (Kyoto, 2011)	978-4-86497-036-5	978-4-86497-037-2							https://projecteuclid.org/proceedings/advanced-studies-in-pure-mathematics/minimal-models-and-extremal-rays-kyoto-2011/toc/10.2969/aspm/07010000		euclid.aspm/1538622693		fulltext		Mathematical Society of Japan	Monograph	2016	43377.0	70		Kollár	euclid.aspm/0920-1971		F
Schubert Calculus  Osaka 2012	978-4-86497-038-9	978-4-86497-039-6							https://projecteuclid.org/proceedings/advanced-studies-in-pure-mathematics/schubert-calculus-osaka-2012/toc/10.2969/aspm/07110000		euclid.aspm/1538622989		fulltext		Mathematical Society of Japan	Monograph	2016	43377.0	71		Naruse	euclid.aspm/0920-1971		F
Geometry, Dynamics, and Foliations 2013: In honor of Steven Hurder and Takashi Tsuboi on the occasion of their 60th birthdays	978-4-86497-040-2	978-4-86497-041-9							https://projecteuclid.org/proceedings/advanced-studies-in-pure-mathematics/geometry-dynamics-and-foliations-2013-in-honor-of-steven-hurder-and-takashi-tsuboi-on-the-occasion-of-their-60th-birthdays/toc/10.2969/aspm/07210000		euclid.aspm/1538671756		fulltext		Mathematical Society of Japan	Monograph	2017	43377.0	72		Asuke	euclid.aspm/0920-1971		P
Hyperbolic Geometry and Geometric Group Theory	978-4-86497-042-6	978-4-86497-043-3							https://projecteuclid.org/proceedings/advanced-studies-in-pure-mathematics/hyperbolic-geometry-and-geometric-group-theory/toc/10.2969/aspm/07310000		euclid.aspm/1538671933		fulltext		Mathematical Society of Japan	Monograph	2017	43377.0	73		Fujiwara	euclid.aspm/0920-1971		P
Variational Methods for Evolving Objects	978-4-86497-029-7								https://projecteuclid.org/proceedings/advanced-studies-in-pure-mathematics/variational-methods-for-evolving-objects/toc/10.2969/aspm/06710000		euclid.aspm/1539916028		fulltext		Mathematical Society of Japan	Monograph	2015	43392.0	67		Ambrosio	euclid.aspm/0920-1971		F
Singularities in Geometry and Topology 2011	978-4-86497-027-3								https://projecteuclid.org/proceedings/advanced-studies-in-pure-mathematics/singularities-in-geometry-and-topology-2011/toc/10.2969/aspm/06610000		euclid.aspm/1539916272		fulltext		Mathematical Society of Japan	Monograph	2015	43392.0	66		Blanlil	euclid.aspm/0920-1971		F
Algebraic Geometry in East Asia  Taipei 2011	978-4-86497-025-9								https://projecteuclid.org/proceedings/advanced-studies-in-pure-mathematics/algebraic-geometry-in-east-asia-taipei-2011/toc/10.2969/aspm/06510000		euclid.aspm/1539916440		fulltext		Mathematical Society of Japan	Monograph	2015	43392.0	65		Chen	euclid.aspm/0920-1971		F
Higher Dimensional Algebraic Geometry: In honour of Professor Yujiro Kawamata's sixtieth birthday	978-4-86497-046-4	978-4-86497-047-1							https://projecteuclid.org/proceedings/advanced-studies-in-pure-mathematics/higher-dimensional-algebraic-geometry-in-honour-of-professor-yujiro-kawamata-s-sixtieth-birthday/toc/10.2969/aspm/07410000		euclid.aspm/1540319475		fulltext		Mathematical Society of Japan	Monograph	2017	43396.0	74		Oguiso	euclid.aspm/0920-1971		P
GaloisTeichmüller Theory and Arithmetic Geometry	978-4-86497-013-6								https://projecteuclid.org/proceedings/advanced-studies-in-pure-mathematics/galois-teichmuller-theory-and-arithmetic-geometry/toc/10.2969/aspm/06310000		euclid.aspm/1540417808		fulltext		Mathematical Society of Japan	Monograph	2012	43397.0	63		Nakamura	euclid.aspm/0920-1971		F
Nonlinear Dynamics in Partial Differential Equations	978-4-86497-023-5								https://projecteuclid.org/proceedings/advanced-studies-in-pure-mathematics/nonlinear-dynamics-in-partial-differential-equations/toc/10.2969/aspm/06410000		euclid.aspm/1540934197		fulltext		Mathematical Society of Japan	Monograph	2015	43403.0	64		Ei	euclid.aspm/0920-1971		F
Arrangements of HyperplanesSapporo 2009	978-4-86497-012-9								https://projecteuclid.org/proceedings/advanced-studies-in-pure-mathematics/arrangements-of-hyperplanes-sapporo-2009/toc/10.2969/aspm/06210000		euclid.aspm/1543084997		fulltext		Mathematical Society of Japan	Monograph	2012	43428.0	62		Terao	euclid.aspm/0920-1971		F
Exploring New Structures and Natural Constructions in Mathematical Physics	978-4-86497-011-2								https://projecteuclid.org/proceedings/advanced-studies-in-pure-mathematics/exploring-new-structures-and-natural-constructions-in-mathematical-physics/toc/10.2969/aspm/06110000		euclid.aspm/1543085336		fulltext		Mathematical Society of Japan	Monograph	2011	43428.0	61		Hasegawa	euclid.aspm/0920-1971		F
Algebraic Geometry in East Asia  Seoul 2008	978-4-86497-010-5								https://projecteuclid.org/proceedings/advanced-studies-in-pure-mathematics/algebraic-geometry-in-east-asia-seoul-2008/toc/10.2969/aspm/06010000		euclid.aspm/1543085631		fulltext		Mathematical Society of Japan	Monograph	2010	43428.0	60		Keum	euclid.aspm/0920-1971		F
New Developments in Algebraic Geometry, Integrable Systems and Mirror Symmetry (RIMS, Kyoto, 2008)	978-4-86497-009-9								https://projecteuclid.org/proceedings/advanced-studies-in-pure-mathematics/new-developments-in-algebraic-geometry-integrable-systems-and-mirror-symmetry-rims-kyoto-2008/toc/10.2969/aspm/05910000		euclid.aspm/1543085913		fulltext		Mathematical Society of Japan	Monograph	2010	43428.0	59		Saito	euclid.aspm/0920-1971		F
Algebraic and Arithmetic Structures of Moduli Spaces (Sapporo 2007)	978-4-86497-008-2								https://projecteuclid.org/proceedings/advanced-studies-in-pure-mathematics/algebraic-and-arithmetic-structures-of-moduli-spaces-sapporo-2007/toc/10.2969/aspm/05810000		euclid.aspm/1543086120		fulltext		Mathematical Society of Japan	Monograph	2010	43428.0	58		Nakamura	euclid.aspm/0920-1971		F
Probabilistic Approach to Geometry	978-4-931469-58-7	978-4-86497-007-5							https://projecteuclid.org/proceedings/advanced-studies-in-pure-mathematics/probabilistic-approach-to-geometry/toc/10.2969/aspm/05710000		euclid.aspm/1543086303		fulltext		Mathematical Society of Japan	Monograph	2010	43428.0	57		Kotani	euclid.aspm/0920-1971		F
Groups of Diffeomorphisms: In honor of Shigeyuki Morita on the occasion of his 60th birthday	978-4-931469-48-8	978-4-86497-002-0							https://projecteuclid.org/proceedings/advanced-studies-in-pure-mathematics/groups-of-diffeomorphisms-in-honor-of-shigeyuki-morita-on-the-occasion-of-his-60th-birthday/toc/10.2969/aspm/05210000		euclid.aspm/1543447471		fulltext		Mathematical Society of Japan	Monograph	2008	43432.0	52		Penner	euclid.aspm/0920-1971		F
Advances in Discrete Dynamical Systems	978-4-931469-49-5	978-4-86497-003-7							https://projecteuclid.org/proceedings/advanced-studies-in-pure-mathematics/advances-in-discrete-dynamical-systems/toc/10.2969/aspm/05310000		euclid.aspm/1543447631		fulltext		Mathematical Society of Japan	Monograph	2009	43432.0	53		Elaydi	euclid.aspm/0920-1971		F
Algebraic Analysis and Around: In honor of Professor Masaki Kashiwara's 60th birthday	978-4-931469-51-8	978-4-86497-004-4							https://projecteuclid.org/proceedings/advanced-studies-in-pure-mathematics/algebraic-analysis-and-around-in-honor-of-professor-masaki-kashiwara-s-60th-birthday/toc/10.2969/aspm/05410000		euclid.aspm/1543447749		fulltext		Mathematical Society of Japan	Monograph	2009	43434.0	54		Miwa	euclid.aspm/0920-1971		F
Noncommutativity and Singularities: Proceedings of FrenchJapanese symposia held at IHÉS in 2006	978-4-931469-54-9	978-4-86497-005-1							https://projecteuclid.org/proceedings/advanced-studies-in-pure-mathematics/noncommutativity-and-singularities-proceedings-of-french-japanese-symposia-held-at-ihes-in-2006/toc/10.2969/aspm/05510000		euclid.aspm/1543447892		fulltext		Mathematical Society of Japan	Monograph	2009	43434.0	55		Bourguignon	euclid.aspm/0920-1971		F
Singularities  NiigataToyama 2007	978-4-931469-55-6	978-4-86497-006-8							https://projecteuclid.org/proceedings/advanced-studies-in-pure-mathematics/singularities-niigata-toyama-2007/toc/10.2969/aspm/05610000		euclid.aspm/1543448004		fulltext		Mathematical Society of Japan	Monograph	2009	43432.0	56		Brasselet	euclid.aspm/0920-1971		F
Potential Theory in Matsue	978-4-931469-33-4	978-4-931469-94-5							https://projecteuclid.org/proceedings/advanced-studies-in-pure-mathematics/potential-theory-in-matsue/toc/10.2969/aspm/04410000		euclid.aspm/1544999670		fulltext		Mathematical Society of Japan	Monograph	2006	43452.0	44		Aikawa	euclid.aspm/0920-1971		F
Singularities in Geometry and Topology 2004	978-4-931469-39-6	978-4-931469-96-9							https://projecteuclid.org/proceedings/advanced-studies-in-pure-mathematics/singularities-in-geometry-and-topology-2004/toc/10.2969/aspm/04610000		euclid.aspm/1544999897		fulltext		Mathematical Society of Japan	Monograph	2007	43452.0	46		Brasselet	euclid.aspm/0920-1971		F
Asymptotic Analysis and SingularitiesHyperbolic and dispersive PDEs and fluid mechanics	978-4-931469-40-2	978-4-931469-97-6							https://projecteuclid.org/proceedings/advanced-studies-in-pure-mathematics/asymptotic-analysis-and-singularities-hyperbolic-and-dispersive-pdes-and-fluid-mechanics/toc/10.2969/aspm/04710000		euclid.aspm/1545000578		fulltext		Mathematical Society of Japan	Monograph	2007	43450.0	47-1		Kozono	euclid.aspm/0920-1971		F
Asymptotic Analysis and SingularitiesElliptic and parabolic PDEs and related problems	978-4-931469-41-9	978-4-86497-015-0							https://projecteuclid.org/proceedings/advanced-studies-in-pure-mathematics/asymptotic-analysis-and-singularities-elliptic-and-parabolic-pdes-and-related-problems/toc/10.2969/aspm/04720000		euclid.aspm/1545000882		fulltext		Mathematical Society of Japan	Monograph	2007	43450.0	47-2		Kozono	euclid.aspm/0920-1971		F
